Temp,Setpoint,Output,,
35.22,37,255,65.85,67.23
35.22,37,252.64,65.85,67.23
35.29,37,255,65.91,67.23
35.32,37,243.99,65.93,67.23
35.32,37,248.09,65.93,67.23
35.39,37,255,65.98,67.23
35.39,37,231.08,65.98,67.23
35.42,37,247.98,66.01,67.23
35.49,37,235.24,66.06,67.23
35.53,37,218.1,66.09,67.23
35.56,37,222.12,66.11,67.23
35.56,37,217.81,66.11,67.23
35.59,37,226.32,66.14,67.23
35.63,37,213.6,66.17,67.23
35.7,37,209.22,66.22,67.23
35.7,37,192.07,66.22,67.23
35.73,37,208.95,66.25,67.23
35.76,37,196.18,66.27,67.23
35.8,37,191.86,66.3,67.23
35.87,37,187.5,66.35,67.23
35.87,37,170.27,66.35,67.23
35.9,37,187.16,66.38,67.23
35.93,37,174.41,66.4,67.23
36,37,170.05,66.46,67.23
36,37,152.8,66.46,67.23
36.07,37,169.68,66.51,67.23
36.07,37,144.09,66.51,67.23
36.1,37,160.93,66.53,67.23
36.14,37,148.13,66.56,67.23
36.17,37,143.78,66.59,67.23
36.21,37,139.39,66.61,67.23
36.27,37,134.97,66.67,67.23
36.27,37,117.76,66.67,67.23
36.31,37,134.59,66.69,67.23
36.34,37,121.77,66.72,67.23
36.37,37,117.4,66.74,67.23
36.37,37,113,66.74,67.23
36.44,37,121.44,66.8,67.23
36.48,37,95.76,66.82,67.23
36.51,37,99.76,66.85,67.23
36.51,37,95.35,66.85,67.23
36.58,37,103.78,66.9,67.23
36.61,37,78.09,66.93,67.23
36.65,37,82.08,66.95,67.23
36.65,37,77.66,66.95,67.23
36.71,37,86.07,67.01,67.23
36.71,37,60.38,67.01,67.23
36.75,37,77.2,67.03,67.23
36.78,37,64.38,67.06,67.23
36.82,37,59.9,67.09,67.23
36.85,37,55.49,67.11,67.23
36.85,37,51.05,67.11,67.23
36.85,37,59.45,67.11,67.23
36.88,37,59.46,67.14,67.23
36.95,37,46.59,67.19,67.23
36.95,37,29.32,67.19,67.23
36.95,37,46.1,67.19,67.23
36.99,37,46.1,67.22,67.23
37.02,37,33.22,67.24,67.23
37.05,37,28.79,67.27,67.23
37.05,37,24.33,67.27,67.23
37.05,37,32.71,67.27,67.23
37.09,37,32.71,67.29,67.23
37.09,37,19.86,67.29,67.23
37.12,37,28.24,67.32,67.23
37.12,37,15.35,67.32,67.23
37.16,37,23.75,67.35,67.23
37.16,37,10.89,67.35,67.23
37.19,37,19.27,67.37,67.23
37.22,37,6.41,67.4,67.23
37.22,37,1.93,67.4,67.23
37.22,37,10.3,67.4,67.23
37.22,37,10.28,67.4,67.23
37.26,37,10.26,67.43,67.23
37.26,37,0,67.43,67.23
37.29,37,5.75,67.45,67.23
37.33,37,0,67.48,67.23
37.29,37,0,67.45,67.23
37.29,37,9.6,67.45,67.23
37.29,37,1.19,67.45,67.23
37.33,37,1.17,67.48,67.23
37.33,37,0,67.48,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.39,37,0,67.53,67.23
37.36,37,0,67.5,67.23
37.39,37,0.42,67.53,67.23
37.39,37,0,67.53,67.23
37.43,37,0,67.56,67.23
37.39,37,0,67.53,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.46,37,0,67.58,67.23
37.43,37,0,67.56,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.46,37,0,67.58,67.23
37.5,37,0,67.61,67.23
37.46,37,0,67.58,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.5,37,0,67.61,67.23
37.5,37,0,67.61,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.46,37,0,67.58,67.23
37.46,37,0,67.58,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.46,37,0,67.58,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.43,37,0,67.56,67.23
37.43,37,0,67.56,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.23,
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.43,37,0,67.56,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.36,37,0,67.5,67.23
37.39,37,0,67.53,67.23
37.39,37,0,67.53,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.33,37,0,67.48,67.23
37.33,37,1.19,67.48,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.36,37,0,67.5,67.23
37.33,37,0,67.48,67.23
37.33,37,1.04,67.48,67.23
37.33,37,0,67.48,67.23
37.33,37,0,67.48,67.23
37.33,37,0,67.48,67.23
37.33,37,0,67.48,67.23
37.29,37,0,67.45,67.23
37.33,37,5.31,67.48,67.23
37.29,37,0,67.45,67.23
37.33,37,5.26,67.48,67.23
37.29,37,0,67.45,67.23
37.29,37,5.2,67.45,67.23
37.29,37,0,67.45,67.23
37.29,37,0,67.45,67.23
37.26,37,0,67.43,67.23
37.26,37,9.56,67.43,67.23
37.26,37,1.15,67.43,67.23
37.29,37,1.13,67.45,67.23
37.26,37,0,67.43,67.23
37.26,37,9.47,67.43,67.23
37.26,37,1.06,67.43,67.23
37.26,37,1.04,67.43,67.23
37.26,37,1.02,67.43,67.23
37.22,37,1,67.4,67.23
37.26,37,13.86,67.43,67.23
37.26,37,0,67.43,67.23
37.22,37,0.94,67.4,67.23
37.19,37,13.8,67.37,67.23
37.22,37,18.21,67.4,67.23
37.22,37,0,67.4,67.23
37.22,37,5.33,67.4,67.23
37.22,37,5.31,67.4,67.23
37.22,37,5.29,67.4,67.23
37.19,37,5.27,67.37,67.23
37.19,37,18.1,67.37,67.23
37.19,37,9.7,67.37,67.23
37.19,37,9.68,67.37,67.23
37.16,37,9.67,67.35,67.23
37.16,37,22.5,67.35,67.23
37.19,37,14.1,67.37,67.23
37.16,37,1.24,67.35,67.23
37.16,37,22.45,67.35,67.23
37.19,37,14.05,67.37,67.23
37.12,37,1.19,67.32,67.23
37.12,37,35.26,67.32,67.23
37.16,37,18.47,67.35,67.23
37.16,37,5.62,67.35,67.23
37.16,37,13.99,67.35,67.23
37.12,37,13.98,67.32,67.23
37.16,37,26.81,67.35,67.23
37.12,37,5.57,67.32,67.23
37.12,37,26.79,67.32,67.23
37.09,37,18.39,67.29,67.23
37.09,37,31.26,67.29,67.23
37.09,37,22.84,67.29,67.23
37.09,37,22.83,67.29,67.23
37.09,37,22.83,67.29,67.23
37.09,37,22.82,67.29,67.23
37.09,37,22.81,67.29,67.23
37.09,37,22.8,67.29,67.23
37.09,37,22.8,67.29,67.23
37.12,37,22.79,67.32,67.23
37.09,37,9.9,67.29,67.23
37.09,37,31.18,67.29,67.23
37.05,37,22.76,67.27,67.23
37.05,37,35.6,67.27,67.23
37.05,37,27.21,67.27,67.23
37.05,37,27.21,67.27,67.23
37.05,37,27.2,67.27,67.23
37.02,37,27.2,67.24,67.23
37.05,37,40.04,67.27,67.23
37.05,37,18.8,67.27,67.23
37.05,37,27.19,67.27,67.23
37.02,37,27.18,67.24,67.23
37.02,37,40.02,67.24,67.23
37.05,37,31.63,67.27,67.23
37.05,37,18.79,67.27,67.23
37.02,37,27.17,67.24,67.23
36.99,37,40.01,67.22,67.23
37.02,37,44.47,67.24,67.23
37.02,37,23.24,67.24,67.23
36.99,37,31.62,67.22,67.23
36.99,37,44.46,67.22,67.23
37.02,37,36.08,67.24,67.23
36.95,37,23.24,67.19,67.23
36.99,37,57.35,67.22,67.23
36.99,37,27.67,67.22,67.23
36.99,37,36.08,67.22,67.23
36.95,37,36.09,67.19,67.23
36.95,37,48.97,67.19,67.23
36.95,37,40.56,67.19,67.23
36.95,37,40.57,67.19,67.23
36.95,37,40.57,67.19,67.23
36.95,37,40.57,67.19,67.23
36.99,37,40.58,67.22,67.23
36.92,37,27.7,67.16,67.23
36.95,37,61.84,67.19,67.23
36.92,37,32.2,67.16,67.23
36.92,37,53.44,67.16,67.23
36.92,37,45.06,67.16,67.23
36.92,37,45.07,67.16,67.23
36.88,37,45.07,67.14,67.23
36.88,37,57.93,67.14,67.23
36.92,37,49.55,67.16,67.23
36.88,37,36.71,67.14,67.23
36.88,37,57.95,67.14,67.23
36.92,37,49.58,67.16,67.23
36.88,37,36.74,67.14,67.23
36.85,37,57.98,67.11,67.23
36.88,37,62.49,67.14,67.23
36.85,37,41.2,67.11,67.23
36.88,37,62.51,67.14,67.23
36.88,37,41.23,67.14,67.23
36.85,37,49.65,67.11,67.23
36.85,37,62.54,67.11,67.23
36.85,37,54.14,67.11,67.23
36.85,37,54.15,67.11,67.23
36.82,37,54.17,67.09,67.23
36.82,37,67.02,67.09,67.23
36.82,37,58.65,67.09,67.23
36.82,37,58.67,67.09,67.23
36.82,37,58.69,67.09,67.23
36.82,37,58.7,67.09,67.23
36.78,37,58.72,67.06,67.23
36.82,37,71.58,67.09,67.23
36.82,37,50.36,67.09,67.23
36.82,37,58.77,67.09,67.23
36.78,37,58.78,67.06,67.23
36.78,37,71.64,67.06,67.23
36.78,37,63.27,67.06,67.23
36.75,37,63.29,67.03,67.23
36.75,37,76.19,67.03,67.23
36.75,37,67.8,67.03,67.23
36.75,37,67.83,67.03,67.23
36.75,37,67.85,67.03,67.23
36.75,37,67.87,67.03,67.23
36.75,37,67.89,67.03,67.23
36.71,37,67.91,67.01,67.23
36.71,37,80.78,67.01,67.23
36.75,37,72.41,67.03,67.23
36.71,37,59.6,67.01,67.23
36.71,37,80.85,67.01,67.23
36.71,37,72.48,67.01,67.23
36.71,37,72.51,67.01,67.23
36.68,37,72.53,66.98,67.23
36.68,37,85.4,66.98,67.23
36.68,37,77.04,66.98,67.23
36.68,37,77.07,66.98,67.23
36.68,37,77.1,66.98,67.23
36.68,37,77.12,66.98,67.23
36.68,37,77.15,66.98,67.23
36.68,37,77.18,66.98,67.23
36.65,37,77.21,66.95,67.23
36.65,37,90.12,66.95,67.23
36.65,37,81.73,66.95,67.23
36.68,37,81.76,66.98,67.23
36.65,37,68.91,66.95,67.23
36.65,37,90.23,66.95,67.23
36.65,37,81.85,66.95,67.23
36.65,37,81.88,66.95,67.23
36.61,37,81.91,66.93,67.23
36.65,37,94.79,66.95,67.23
36.61,37,73.59,66.93,67.23
36.61,37,94.85,66.93,67.23
36.61,37,86.5,66.93,67.23
36.58,37,86.53,66.9,67.23
36.58,37,99.41,66.9,67.23
36.58,37,91.06,66.9,67.23
36.58,37,91.09,66.9,67.23
36.58,37,91.13,66.9,67.23
36.58,37,91.16,66.9,67.23
36.58,37,91.2,66.9,67.23
36.54,37,91.23,66.88,67.23
36.58,37,104.15,66.9,67.23
36.54,37,82.9,66.88,67.23
36.54,37,104.23,66.88,67.23
36.54,37,95.85,66.88,67.23
36.54,37,95.89,66.88,67.23
36.54,37,95.93,66.88,67.23
36.54,37,95.97,66.88,67.23
36.54,37,96.01,66.88,67.23
36.54,37,96.05,66.88,67.23
36.51,37,96.09,66.85,67.23
36.51,37,108.97,66.85,67.23
36.48,37,100.63,66.82,67.23
36.51,37,113.51,66.85,67.23
36.51,37,92.33,66.85,67.23
36.51,37,100.75,66.85,67.23
36.48,37,100.79,66.82,67.23
36.51,37,113.68,66.85,67.23
36.48,37,92.5,66.82,67.23
36.48,37,113.76,66.82,67.23
36.44,37,105.42,66.8,67.23
36.44,37,118.31,66.8,67.23
36.44,37,109.97,66.8,67.23
36.44,37,110.02,66.8,67.23
36.44,37,110.07,66.8,67.23
36.44,37,110.12,66.8,67.23
36.44,37,110.16,66.8,67.23
36.44,37,110.21,66.8,67.23
36.41,37,110.26,66.77,67.23
36.41,37,123.15,66.77,67.23
36.44,37,114.81,66.8,67.23
36.41,37,102.02,66.77,67.23
36.41,37,123.3,66.77,67.23
36.41,37,114.96,66.77,67.23
36.41,37,115.01,66.77,67.23
36.37,37,115.06,66.74,67.23
36.37,37,127.99,66.74,67.23
36.37,37,119.64,66.74,67.23
36.34,37,119.69,66.72,67.23
36.37,37,132.59,66.74,67.23
36.37,37,111.41,66.74,67.23
36.37,37,119.85,66.74,67.23
36.37,37,119.9,66.74,67.23
36.34,37,119.96,66.72,67.23
36.34,37,132.85,66.72,67.23
36.34,37,124.52,66.72,67.23
36.34,37,124.58,66.72,67.23
36.34,37,124.64,66.72,67.23
36.34,37,124.69,66.72,67.23
36.34,37,124.75,66.72,67.23
36.34,37,124.8,66.72,67.23
36.34,37,124.86,66.72,67.23
36.34,37,124.92,66.72,67.23
36.31,37,124.97,66.69,67.23
36.31,37,137.87,66.69,67.23
36.31,37,129.54,66.69,67.23
36.34,37,129.6,66.72,67.23
36.31,37,116.82,66.69,67.23
36.31,37,138.1,66.69,67.23
36.31,37,129.78,66.69,67.23
36.31,37,129.84,66.69,67.23
36.31,37,129.9,66.69,67.23
36.31,37,129.95,66.69,67.23
36.31,37,130.01,66.69,67.23
36.31,37,130.07,66.69,67.23
36.27,37,130.13,66.67,67.23
36.31,37,143.07,66.69,67.23
36.31,37,121.84,66.69,67.23
36.34,37,130.31,66.72,67.23
36.34,37,117.53,66.72,67.23
36.31,37,125.97,66.69,67.23
36.31,37,138.87,66.69,67.23
36.34,37,130.54,66.72,67.23
36.31,37,117.76,66.69,67.23
36.31,37,139.04,66.69,67.23
36.34,37,130.71,66.72,67.23
36.34,37,117.93,66.72,67.23
36.37,37,126.37,66.74,67.23
36.34,37,113.58,66.72,67.23
36.34,37,134.87,66.72,67.23
36.37,37,126.54,66.74,67.23
36.37,37,113.75,66.74,67.23
36.37,37,122.19,66.74,67.23
36.37,37,122.24,66.74,67.23
36.41,37,122.29,66.77,67.23
36.41,37,109.47,66.77,67.23
36.41,37,117.93,66.77,67.23
36.41,37,117.98,66.77,67.23
36.44,37,118.03,66.8,67.23
36.44,37,105.23,66.8,67.23
36.44,37,113.67,66.8,67.23
36.48,37,113.72,66.82,67.23
36.44,37,100.92,66.8,67.23
36.48,37,122.19,66.82,67.23
36.48,37,101.01,66.82,67.23
36.48,37,109.44,66.82,67.23
36.51,37,109.49,66.85,67.23
36.51,37,96.69,66.85,67.23
36.48,37,105.11,66.82,67.23
36.51,37,118,66.85,67.23
36.51,37,96.82,66.85,67.23
36.54,37,105.24,66.88,67.23
36.54,37,92.44,66.88,67.23
36.54,37,100.86,66.88,67.23
36.54,37,100.9,66.88,67.23
36.54,37,100.94,66.88,67.23
36.54,37,100.98,66.88,67.23
36.54,37,101.02,66.88,67.23
36.58,37,101.06,66.9,67.23
36.58,37,88.21,66.9,67.23
36.58,37,96.66,66.9,67.23
36.58,37,96.7,66.9,67.23
36.58,37,96.73,66.9,67.23
36.54,37,96.77,66.88,67.23
36.58,37,109.69,66.9,67.23
36.58,37,88.43,66.9,67.23
36.61,37,96.88,66.93,67.23
36.58,37,84.07,66.9,67.23
36.54,37,105.33,66.88,67.23
36.58,37,109.87,66.9,67.23
36.58,37,88.61,66.9,67.23
36.61,37,97.06,66.93,67.23
36.61,37,84.25,66.93,67.23
36.61,37,92.67,66.93,67.23
36.61,37,92.7,66.93,67.23
36.58,37,92.74,66.9,67.23
36.61,37,105.61,66.93,67.23
36.58,37,84.42,66.9,67.23
36.61,37,105.68,66.93,67.23
36.61,37,84.49,66.93,67.23
36.61,37,92.91,66.93,67.23
36.65,37,92.94,66.95,67.23
36.61,37,80.13,66.93,67.23
36.61,37,101.39,66.93,67.23
36.58,37,93.03,66.9,67.23
36.58,37,105.91,66.9,67.23
36.61,37,97.56,66.93,67.23
36.61,37,84.75,66.93,67.23
36.58,37,93.17,66.9,67.23
36.61,37,106.05,66.93,67.23
36.58,37,84.86,66.9,67.23
36.61,37,106.12,66.93,67.23
36.58,37,84.92,66.9,67.23
36.58,37,106.19,66.9,67.23
36.58,37,97.84,66.9,67.23
36.58,37,97.87,66.9,67.23
36.58,37,97.91,66.9,67.23
36.58,37,97.94,66.9,67.23
36.58,37,97.98,66.9,67.23
36.58,37,98.02,66.9,67.23
36.58,37,98.05,66.9,67.23
36.58,37,98.09,66.9,67.23
36.58,37,98.12,66.9,67.23
36.58,37,98.16,66.9,67.23
36.58,37,98.19,66.9,67.23
36.54,37,98.23,66.88,67.23
36.58,37,111.15,66.9,67.23
36.54,37,89.89,66.88,67.23
36.54,37,111.22,66.88,67.23
36.54,37,102.85,66.88,67.23
36.54,37,102.89,66.88,67.23
36.58,37,102.93,66.9,67.23
36.54,37,90.08,66.88,67.23
36.54,37,111.41,66.88,67.23
36.54,37,103.04,66.88,67.23
36.54,37,103.08,66.88,67.23
36.54,37,103.12,66.88,67.23
36.54,37,103.16,66.88,67.23
