temp,Setpoint,,,
34.47,37,255,65.28,67.23
34.51,37,255,65.3,67.23
34.54,37,255,65.33,67.23
34.58,37,255,65.35,67.23
34.58,37,255,65.35,67.23
34.58,37,255,65.35,67.23
34.64,37,255,65.41,67.23
34.68,37,255,65.43,67.23
34.68,37,255,65.43,67.23
34.75,37,255,65.49,67.23
34.75,37,255,65.49,67.23
34.78,37,255,65.51,67.23
34.81,37,255,65.54,67.23
34.81,37,255,65.54,67.23
34.85,37,255,65.56,67.23
34.88,37,255,65.59,67.23
34.92,37,255,65.62,67.23
34.95,37,255,65.64,67.23
34.98,37,255,65.67,67.23
35.02,37,255,65.7,67.23
35.02,37,255,65.7,67.23
35.05,37,255,65.72,67.23
35.09,37,255,65.75,67.23
35.09,37,255,65.75,67.23
35.12,37,255,65.77,67.23
35.12,37,255,65.77,67.23
35.19,37,255,65.83,67.23
35.19,37,255,65.83,67.23
35.22,37,255,65.85,67.23
35.22,37,255,65.85,67.23
35.29,37,255,65.91,67.23
35.29,37,250.25,65.91,67.23
35.36,37,255,65.96,67.23
35.39,37,241.1,65.98,67.23
35.39,37,241.75,65.98,67.23
35.42,37,247.11,66.01,67.23
35.46,37,237.25,66.04,67.23
35.49,37,232.67,66.06,67.23
35.53,37,228.07,66.09,67.23
35.56,37,223.44,66.11,67.23
35.56,37,218.85,66.11,67.23
35.59,37,224.2,66.14,67.23
35.63,37,214.35,66.17,67.23
35.66,37,209.71,66.19,67.23
35.66,37,205.11,66.19,67.23
35.73,37,210.46,66.25,67.23
35.73,37,190.62,66.25,67.23
35.76,37,201.21,66.27,67.23
35.8,37,191.35,66.3,67.23
35.83,37,186.73,66.32,67.23
35.87,37,182.07,66.35,67.23
35.9,37,177.46,66.38,67.23
35.9,37,172.83,66.38,67.23
35.93,37,178.15,66.4,67.23
35.97,37,168.28,66.43,67.23
36,37,163.64,66.46,67.23
36,37,158.97,66.46,67.23
36.04,37,164.31,66.48,67.23
36.07,37,154.42,66.51,67.23
36.1,37,149.78,66.53,67.23
36.14,37,145.1,66.56,67.23
36.14,37,140.47,66.56,67.23
36.17,37,145.78,66.59,67.23
36.21,37,135.88,66.61,67.23
36.24,37,131.2,66.64,67.23
36.27,37,126.56,66.67,67.23
36.31,37,121.9,66.69,67.23
36.31,37,117.2,66.69,67.23
36.34,37,122.51,66.72,67.23
36.37,37,112.61,66.74,67.23
36.44,37,107.94,66.8,67.23
36.41,37,93.28,66.77,67.23
36.44,37,113.78,66.8,67.23
36.48,37,98.62,66.82,67.23
36.51,37,93.94,66.85,67.23
36.54,37,89.27,66.88,67.23
36.58,37,84.58,66.9,67.23
36.58,37,79.87,66.9,67.23
36.61,37,85.16,66.93,67.23
36.61,37,75.23,66.93,67.23
36.65,37,80.5,66.95,67.23
36.65,37,70.57,66.95,67.23
36.68,37,75.84,66.98,67.23
36.68,37,65.88,66.98,67.23
36.71,37,71.16,67.01,67.23
36.75,37,61.22,67.03,67.23
36.78,37,56.52,67.06,67.23
36.75,37,51.79,67.03,67.23
36.78,37,67.06,67.06,67.23
36.82,37,51.83,67.09,67.23
36.82,37,47.14,67.09,67.23
36.85,37,52.4,67.11,67.23
36.85,37,42.45,67.11,67.23
36.88,37,47.7,67.14,67.23
36.88,37,37.72,67.14,67.23
36.95,37,42.99,67.19,67.23
36.92,37,23.08,67.16,67.23
36.95,37,43.52,67.19,67.23
36.95,37,28.33,67.19,67.23
36.95,37,33.57,67.19,67.23
36.95,37,33.58,67.19,67.23
36.99,37,33.58,67.22,67.23
36.99,37,23.59,67.22,67.23
36.99,37,28.85,67.22,67.23
37.02,37,28.85,67.24,67.23
37.05,37,18.89,67.27,67.23
37.02,37,14.17,67.24,67.23
37.02,37,29.37,67.24,67.23
37.05,37,24.13,67.27,67.23
37.05,37,14.16,67.27,67.23
37.05,37,19.4,67.27,67.23
37.05,37,19.4,67.27,67.23
37.09,37,19.39,67.29,67.23
37.09,37,9.42,67.29,67.23
37.12,37,14.66,67.32,67.23
37.09,37,4.66,67.29,67.23
37.09,37,19.9,67.29,67.23
37.12,37,14.64,67.32,67.23
37.12,37,4.64,67.32,67.23
37.12,37,9.89,67.32,67.23
37.12,37,9.88,67.32,67.23
37.12,37,9.87,67.32,67.23
37.12,37,9.86,67.32,67.23
37.16,37,9.85,67.35,67.23
37.12,37,0,67.32,67.23
37.16,37,15.07,67.35,67.23
37.12,37,0,67.32,67.23
37.16,37,15.05,67.35,67.23
37.12,37,0,67.32,67.23
37.12,37,15.03,67.32,67.23
37.12,37,9.78,67.32,67.23
37.16,37,9.77,67.35,67.23
37.16,37,0,67.35,67.23
37.16,37,5.02,67.35,67.23
37.16,37,5.01,67.35,67.23
37.16,37,5,67.35,67.23
37.16,37,4.99,67.35,67.23
37.16,37,4.98,67.35,67.23
37.12,37,4.96,67.32,67.23
