Temp,Setpoint,,,
31.9,37,255,63.28,67.23
31.93,37,255,63.31,67.23
31.97,37,255,63.34,67.23
31.97,37,255,63.34,67.23
32,37,255,63.36,67.23
32.03,37,255,63.39,67.23
32.03,37,255,63.39,67.23
32.07,37,255,63.42,67.23
32.13,37,255,63.47,67.23
32.13,37,255,63.47,67.23
32.17,37,255,63.49,67.23
32.17,37,255,63.49,67.23
32.2,37,255,63.52,67.23
32.2,37,255,63.52,67.23
32.24,37,255,63.55,67.23
32.27,37,255,63.57,67.23
32.27,37,255,63.57,67.23
32.3,37,255,63.6,67.23
32.34,37,255,63.63,67.23
32.37,37,255,63.65,67.23
32.37,37,255,63.65,67.23
32.41,37,255,63.68,67.23
32.41,37,255,63.68,67.23
32.47,37,255,63.73,67.23
32.51,37,255,63.76,67.23
32.51,37,255,63.76,67.23
32.54,37,255,63.78,67.23
32.58,37,255,63.81,67.23
32.61,37,255,63.83,67.23
32.64,37,255,63.86,67.23
32.64,37,255,63.86,67.23
32.68,37,255,63.89,67.23
32.71,37,255,63.91,67.23
32.75,37,255,63.94,67.23
32.78,37,255,63.97,67.23
32.78,37,255,63.97,67.23
32.85,37,255,64.02,67.23
32.88,37,255,64.04,67.23
32.88,37,255,64.04,67.23
32.91,37,255,64.07,67.23
32.95,37,255,64.1,67.23
32.98,37,255,64.12,67.23
32.98,37,255,64.12,67.23
33.02,37,255,64.15,67.23
33.05,37,255,64.18,67.23
33.08,37,255,64.2,67.23
33.12,37,255,64.23,67.23
33.15,37,255,64.25,67.23
33.15,37,255,64.25,67.23
33.19,37,255,64.28,67.23
33.19,37,255,64.28,67.23
33.25,37,255,64.33,67.23
33.25,37,255,64.33,67.23
33.32,37,255,64.38,67.23
33.32,37,255,64.38,67.23
33.36,37,255,64.41,67.23
33.39,37,255,64.44,67.23
33.39,37,255,64.44,67.23
33.42,37,255,64.46,67.23
33.46,37,255,64.49,67.23
33.49,37,255,64.52,67.23
33.52,37,255,64.54,67.23
33.56,37,255,64.57,67.23
33.56,37,255,64.57,67.23
33.63,37,255,64.62,67.23
33.66,37,255,64.65,67.23
33.66,37,255,64.65,67.23
33.69,37,255,64.67,67.23
33.73,37,255,64.7,67.23
33.73,37,255,64.7,67.23
33.73,37,255,64.7,67.23
33.8,37,255,64.75,67.23
33.83,37,255,64.78,67.23
33.86,37,255,64.8,67.23
33.9,37,255,64.83,67.23
33.93,37,255,64.86,67.23
33.97,37,255,64.88,67.23
34,37,255,64.91,67.23
34,37,255,64.91,67.23
34.03,37,255,64.94,67.23
34.07,37,255,64.96,67.23
34.1,37,255,64.99,67.23
34.14,37,255,65.01,67.23
34.17,37,255,65.04,67.23
34.17,37,255,65.04,67.23
34.2,37,255,65.07,67.23
34.24,37,255,65.09,67.23
34.27,37,255,65.12,67.23
34.31,37,255,65.14,67.23
34.31,37,255,65.14,67.23
34.34,37,255,65.17,67.23
34.37,37,255,65.2,67.23
34.41,37,255,65.22,67.23
34.44,37,255,65.25,67.23
34.47,37,255,65.28,67.23
34.47,37,255,65.28,67.23
34.51,37,255,65.3,67.23
34.54,37,255,65.33,67.23
34.58,37,255,65.35,67.23
34.61,37,255,65.38,67.23
34.61,37,255,65.38,67.23
34.68,37,255,65.43,67.23
34.68,37,255,65.43,67.23
34.71,37,255,65.46,67.23
34.71,37,255,65.46,67.23
34.75,37,255,65.49,67.23
34.81,37,255,65.54,67.23
34.81,37,255,65.54,67.23
34.85,37,255,65.56,67.23
34.88,37,255,65.59,67.23
34.92,37,255,65.62,67.23
34.95,37,255,65.64,67.23
34.98,37,255,65.67,67.23
34.98,37,255,65.67,67.23
35.02,37,255,65.7,67.23
35.05,37,255,65.72,67.23
35.09,37,255,65.75,67.23
35.09,37,255,65.75,67.23
35.12,37,255,65.77,67.23
35.15,37,255,65.8,67.23
35.19,37,255,65.83,67.23
35.22,37,255,65.85,67.23
35.22,37,255,65.85,67.23
35.25,37,255,65.88,67.23
35.32,37,255,65.93,67.23
35.32,37,255,65.93,67.23
35.36,37,255,65.96,67.23
35.36,37,255,65.96,67.23
35.39,37,255,65.98,67.23
35.42,37,255,66.01,67.23
35.46,37,255,66.04,67.23
35.49,37,255,66.06,67.23
35.49,37,255,66.06,67.23
35.53,37,255,66.09,67.23
35.56,37,255,66.11,67.23
35.59,37,255,66.14,67.23
35.63,37,250.98,66.17,67.23
35.63,37,246.21,66.17,67.23
35.66,37,251.57,66.19,67.23
35.7,37,241.59,66.22,67.23
35.73,37,236.84,66.25,67.23
35.76,37,232.06,66.27,67.23
35.8,37,227.33,66.3,67.23
35.8,37,222.57,66.3,67.23
35.83,37,227.9,66.32,67.23
35.87,37,217.88,66.35,67.23
35.9,37,213.13,66.38,67.23
35.9,37,208.37,66.38,67.23
35.93,37,213.7,66.4,67.23
35.97,37,203.69,66.43,67.23
36,37,198.93,66.46,67.23
36.04,37,194.12,66.48,67.23
36.07,37,189.37,66.51,67.23
36.07,37,184.59,66.51,67.23
36.1,37,189.9,66.53,67.23
36.14,37,179.86,66.56,67.23
36.17,37,175.09,66.59,67.23
36.17,37,170.31,66.59,67.23
36.21,37,175.61,66.61,67.23
36.24,37,165.56,66.64,67.23
36.27,37,160.78,66.67,67.23
36.31,37,155.99,66.69,67.23
36.31,37,151.17,66.69,67.23
36.34,37,156.48,66.72,67.23
36.37,37,146.44,66.74,67.23
36.41,37,141.64,66.77,67.23
36.44,37,136.81,66.8,67.23
36.48,37,132.02,66.82,67.23
36.48,37,127.21,66.82,67.23
36.51,37,132.49,66.85,67.23
36.51,37,122.44,66.85,67.23
36.58,37,127.72,66.9,67.23
36.58,37,107.54,66.9,67.23
36.61,37,118.07,66.93,67.23
36.65,37,108.02,66.95,67.23
36.65,37,103.2,66.95,67.23
36.71,37,108.46,67.01,67.23
36.71,37,88.28,67.01,67.23
36.71,37,98.8,67.01,67.23
36.78,37,98.82,67.06,67.23
36.78,37,78.63,67.06,67.23
36.78,37,89.14,67.06,67.23
36.82,37,89.16,67.09,67.23
36.85,37,79.08,67.11,67.23
36.88,37,74.25,67.14,67.23
36.88,37,69.38,67.14,67.23
36.92,37,74.64,67.16,67.23
36.92,37,64.56,67.16,67.23
36.95,37,69.81,67.19,67.23
36.95,37,59.72,67.19,67.23
36.99,37,64.97,67.22,67.23
36.99,37,54.85,67.22,67.23
37.02,37,60.1,67.24,67.23
37.05,37,50.01,67.27,67.23
37.05,37,45.16,67.27,67.23
37.09,37,50.4,67.29,67.23
37.09,37,40.3,67.29,67.23
37.09,37,45.54,67.29,67.23
37.09,37,45.53,67.29,67.23
37.12,37,45.52,67.32,67.23
37.12,37,35.39,67.32,67.23
37.12,37,40.64,67.32,67.23
37.16,37,40.63,67.35,67.23
37.16,37,30.53,67.35,67.23
