Temp,Setpoint,,Time
28.27,29,118.81,7587
28.31,29,106.07,7788
28.31,29,101.14,7989
28.34,29,105.14,8190
28.34,29,96.31,8391
28.34,29,100.29,8592
28.41,29,100.35,8793
28.37,29,82.61,8994
28.41,29,99.43,9195
28.41,29,86.64,9396
28.44,29,90.63,9597
28.44,29,81.79,9798
28.44,29,85.77,9999
28.48,29,85.82,10200
28.51,29,76.98,10401
28.51,29,72.03,10602
28.51,29,76.01,10803
28.54,29,76.05,11004
28.54,29,67.21,11205
28.54,29,71.17,11406
28.54,29,71.21,11607
28.61,29,71.26,11808
28.58,29,53.51,12009
28.61,29,70.28,12210
28.61,29,57.51,12411
28.61,29,61.47,12612
28.61,29,61.5,12813
28.65,29,61.54,13014
28.65,29,52.68,13215
28.65,29,56.64,13416
28.65,29,56.67,13617
28.65,29,56.7,13818
28.68,29,56.74,14019
28.68,29,47.85,14220
28.71,29,51.81,14421
28.68,29,42.95,14622
28.71,29,55.79,14823
28.71,29,43.01,15024
28.71,29,46.96,15225
28.71,29,46.98,15426
28.71,29,47.01,15627
28.71,29,47.04,15828
28.71,29,47.06,16029
28.75,29,47.09,16230
28.75,29,38.22,16431
28.71,29,42.17,16632
28.75,29,51.09,16833
28.75,29,38.3,17034
28.75,29,42.24,17235
28.75,29,42.27,17436
28.78,29,42.29,17637
28.75,29,33.39,17838
28.78,29,46.27,18039
28.78,29,33.44,18240
28.78,29,37.39,18441
28.78,29,37.41,18642
28.78,29,37.43,18843
28.78,29,37.45,19044
28.78,29,37.47,19245
28.78,29,37.49,19446
28.78,29,37.51,19647
28.78,29,37.53,19848
28.81,29,37.56,20049
28.78,29,28.68,20250
28.78,29,41.51,20451
28.78,29,37.61,20652
28.78,29,37.63,20853
28.78,29,37.65,21054
28.78,29,37.67,21255
28.81,29,37.69,21456
28.78,29,28.82,21657
28.78,29,41.65,21858
28.81,29,37.75,22059
28.78,29,28.88,22260
28.78,29,41.71,22461
28.81,29,37.81,22662
28.78,29,28.94,22863
28.78,29,41.77,23064
28.78,29,37.87,23265
28.78,29,37.89,23466
28.75,29,37.91,23667
28.78,29,46.85,23868
28.78,29,34.02,24069
28.78,29,37.97,24270
28.78,29,37.99,24471
28.75,29,38.01,24672
28.78,29,46.95,24873
28.78,29,34.12,25074
28.78,29,38.08,25275
28.75,29,38.1,25476
28.75,29,47.04,25677
28.75,29,43.13,25878
28.75,29,43.15,26079
28.78,29,43.17,26280
28.78,29,34.28,26481
28.75,29,38.23,26682
28.78,29,47.17,26883
28.75,29,34.34,27084
28.78,29,47.22,27285
28.71,29,34.39,27486
28.75,29,56.15,27687
28.75,29,39.43,27888
28.75,29,43.38,28089
28.75,29,43.4,28290
28.71,29,43.42,28491
28.71,29,52.34,28692
28.71,29,48.44,28893
28.75,29,48.47,29094
28.71,29,39.6,29295
28.71,29,52.44,29496
28.71,29,48.55,29697
28.71,29,48.57,29898
28.71,29,48.6,30099
28.71,29,48.63,30300
28.71,29,48.65,30501
28.68,29,48.68,30702
28.71,29,57.6,30903
28.68,29,44.82,31104
28.71,29,57.66,31305
28.68,29,44.87,31506
28.71,29,57.71,31707
28.68,29,44.93,31908
28.68,29,57.77,32109
28.68,29,53.88,32310
28.68,29,53.91,32511
28.68,29,53.94,32712
28.68,29,53.97,32913
28.65,29,54,33114
28.68,29,62.94,33315
28.65,29,50.12,33516
28.65,29,63.01,33717
28.68,29,59.11,33918
28.65,29,50.22,34119
28.65,29,63.1,34320
28.65,29,59.2,34521
28.65,29,59.23,34722
28.65,29,59.27,34923
28.65,29,59.3,35124
28.61,29,59.33,35325
28.61,29,68.26,35526
28.65,29,64.37,35727
28.61,29,55.52,35928
28.61,29,68.36,36129
