Temp,Setpoint,,,
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.95,30,255,59.46,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
26.99,30,255,59.49,61.82
27.02,30,255,59.52,61.82
27.02,30,255,59.52,61.82
27.02,30,255,59.52,61.82
27.02,30,255,59.52,61.82
27.02,30,255,59.52,61.82
27.02,30,255,59.52,61.82
27.05,30,255,59.54,61.82
27.02,30,255,59.52,61.82
27.09,30,255,59.61.82,
27.09,30,255,59.57,61.82
27.09,30,255,59.57,61.82
27.12,30,255,59.59,61.82
27.12,30,255,59.59,61.82
27.12,30,255,59.59,61.82
27.16,30,255,59.62,61.82
27.12,30,255,59.59,61.82
27.16,30,255,59.62,61.82
27.16,30,255,59.62,61.82
27.19,30,255,59.65,61.82
27.19,30,255,59.65,61.82
27.26,30,255,59.7,61.82
27.22,30,255,59.67,61.82
27.26,30,255,59.7,61.82
27.29,30,255,59.72,61.82
27.29,30,255,59.72,61.82
27.29,30,255,59.72,61.82
27.32,30,255,59.75,61.82
27.36,30,255,59.78,61.82
27.39,30,255,59.8,61.82
27.39,30,255,59.8,61.82
27.43,30,255,59.83,61.82
27.43,30,255,59.83,61.82
27.46,30,255,59.86,61.82
27.49,30,255,59.88,61.82
27.53,30,255,59.91,61.82
27.53,30,255,59.91,61.82
27.53,30,255,59.91,61.82
27.56,30,255,59.93,61.82
27.6,30,255,59.96,61.82
27.63,30,255,59.99,61.82
27.63,30,255,59.99,61.82
27.66,30,255,60.01,61.82
27.7,30,255,60.04,61.82
27.7,30,255,60.04,61.82
27.73,30,255,60.06,61.82
27.73,30,255,60.06,61.82
27.8,30,255,60.12,61.82
27.8,30,255,60.12,61.82
27.8,30,255,60.12,61.82
27.87,30,255,60.17,61.82
27.9,30,255,60.2,61.82
27.9,30,255,60.2,61.82
27.93,30,255,60.22,61.82
27.97,30,255,60.25,61.82
27.97,30,255,60.25,61.82
28,30,255,60.27,61.82
28.07,30,255,60.33,61.82
28.04,30,255,60.3,61.82
28.1,30,255,60.35,61.82
28.14,30,255,60.38,61.82
28.14,30,255,60.38,61.82
28.17,30,255,60.4,61.82
28.21,30,255,60.43,61.82
28.24,30,255,60.46,61.82
28.27,30,255,60.48,61.82
28.27,30,255,60.48,61.82
28.31,30,255,60.51,61.82
28.34,30,255,60.54,61.82
28.37,30,255,60.56,61.82
28.37,30,255,60.56,61.82
28.44,30,255,60.61,61.82
28.48,30,255,60.64,61.82
28.51,30,255,60.67,61.82
28.51,30,255,60.67,61.82
28.54,30,255,60.69,61.82
28.54,30,255,60.69,61.82
28.61,30,255,60.75,61.82
28.61,30,241.93,60.75,61.82
28.65,30,249.9,60.77,61.82
28.68,30,241.14,60.8,61.82
28.75,30,236.27,60.85,61.82
28.75,30,222.54,60.85,61.82
28.78,30,230.5,60.88,61.82
28.81,30,221.69,60.9,61.82
28.81,30,216.85,60.9,61.82
28.85,30,220.88,60.93,61.82
28.88,30,212.1,60.95,61.82
28.88,30,207.21,60.95,61.82
28.95,30,211.24,61.01,61.82
28.98,30,193.56,61.03,61.82
29.02,30,192.58,61.06,61.82
29.05,30,187.72,61.09,61.82
29.09,30,182.84,61.11,61.82
29.12,30,177.93,61.14,61.82
29.12,30,173.05,61.14,61.82
29.12,30,177.06,61.14,61.82
29.19,30,177.14,61.19,61.82
29.19,30,159.43,61.19,61.82
29.25,30,167.35,61.24,61.82
29.25,30,149.62,61.24,61.82
29.29,30,157.54,61.27,61.82
29.36,30,148.72,61.32,61.82
29.36,30,134.89,61.32,61.82
29.39,30,142.81,61.35,61.82
29.46,30,133.97,61.4,61.82
29.46,30,120.14,61.4,61.82
29.49,30,128.04,61.43,61.82
29.53,30,119.2,61.45,61.82
29.56,30,114.28,61.48,61.82
29.56,30,109.32,61.48,61.82
29.59,30,113.3,61.5,61.82
29.63,30,104.44,61.53,61.82
29.66,30,99.51,61.56,61.82
29.7,30,94.54,61.58,61.82
29.7,30,89.62,61.58,61.82
29.76,30,93.57,61.63,61.82
29.76,30,75.78,61.63,61.82
29.8,30,83.66,61.66,61.82
29.8,30,74.79,61.66,61.82
29.83,30,78.73,61.69,61.82
29.86,30,69.85,61.71,61.82
29.86,30,64.89,61.71,61.82
29.9,30,68.83,61.74,61.82
29.93,30,59.95,61.77,61.82
29.97,30,54.96,61.79,61.82
29.97,30,50,61.79,61.82
29.97,30,53.93,61.79,61.82
30,30,53.93,61.82,61.82
30.03,30,45.04,61.84,61.82
30.03,30,40.04,61.84,61.82
30.07,30,43.97,61.87,61.82
30.1,30,35.07,61.9,61.82
30.1,30,30.1,61.9,61.82
30.1,30,34.01,61.9,61.82
30.14,30,34,61.92,61.82
30.17,30,25.07,61.95,61.82
30.17,30,20.09,61.95,61.82
30.17,30,24,61.95,61.82
30.2,30,23.99,61.98,61.82
30.2,30,15.07,61.98,61.82
30.24,30,18.98,62,61.82
30.24,30,10.04,62,61.82
30.24,30,13.95,62,61.82
30.27,30,13.93,62.03,61.82
30.27,30,5.01,62.03,61.82
30.3,30,8.91,62.05,61.82
30.3,30,0,62.05,61.82
30.3,30,3.88,62.05,61.82
30.3,30,3.85,62.05,61.82
30.34,30,3.83,62.08,61.82
30.34,30,0,62.08,61.82
30.34,30,0,62.08,61.82
30.34,30,0,62.08,61.82
30.34,30,0,62.08,61.82
30.37,30,0,62.11,61.82
30.37,30,0,62.11,61.82
30.37,30,0,62.11,61.82
30.37,30,0,62.11,61.82
30.37,30,0,62.11,61.82
30.41,30,0,62.13,61.82
30.37,30,0,62.11,61.82
30.44,30,0,62.16,61.82
30.41,30,0,62.13,61.82
30.44,30,0,62.16,61.82
30.44,30,0,62.16,61.82
30.44,30,0,62.16,61.82
30.44,30,0,62.16,61.82
30.41,30,0,62.13,61.82
30.47,30,0,62.18,61.82
30.44,30,0,62.16,61.82
30.44,30,0,62.16,61.82
30.47,30,0,62.18,61.82
30.44,30,0,62.16,61.82
30.44,30,0,62.16,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
30.47,30,0,62.18,61.82
