Temp,Setpoint,,Time
37.36,38.5,165.73,13416
37.39,38.5,182.63,13617
37.43,38.5,169.89,13818
37.46,38.5,165,14019
37.5,38.5,160.09,14220
37.53,38.5,155.22,14421
37.53,38.5,150.33,14622
37.56,38.5,154.35,14823
37.6,38.5,145.5,15024
37.63,38.5,140.61,15225
37.66,38.5,135.71,15426
37.7,38.5,130.78,15627
37.73,38.5,125.89,15828
37.77,38.5,120.98,16029
37.77,38.5,116.07,16230
37.83,38.5,120.07,16431
37.87,38.5,102.27,16632
37.87,38.5,101.3,16833
37.9,38.5,105.29,17034
37.9,38.5,96.43,17235
37.97,38.5,100.42,17436
38,38.5,82.61,17637
38.04,38.5,81.62,17838
38.07,38.5,76.66,18039
38.07,38.5,71.73,18240
38.11,38.5,75.7,18441
38.14,38.5,66.82,18642
38.17,38.5,61.85,18843
38.21,38.5,56.91,19044
38.24,38.5,51.95,19245
38.24,38.5,46.97,19446
38.24,38.5,50.94,19647
38.31,38.5,50.96,19848
38.31,38.5,33.15,20049
38.34,38.5,41.03,20250
38.38,38.5,32.13,20451
38.38,38.5,27.16,20652
38.38,38.5,31.11,20853
38.41,38.5,31.12,21054
38.41,38.5,22.18,21255
38.45,38.5,26.14,21456
38.48,38.5,17.23,21657
38.48,38.5,12.25,21858
38.51,38.5,16.18,22059
38.51,38.5,7.24,22260
38.51,38.5,11.18,22461
38.55,38.5,11.18,22662
38.58,38.5,2.26,22863
38.58,38.5,0,23064
38.62,38.5,1.2,23265
38.62,38.5,0,23466
38.62,38.5,0,23667
38.65,38.5,0,23868
38.65,38.5,0,24069
38.68,38.5,0,24270
38.68,38.5,0,24471
38.72,38.5,0,24672
38.68,38.5,0,24873
38.72,38.5,0,25074
38.75,38.5,0,25275
38.75,38.5,0,25476
38.75,38.5,0,25677
38.75,38.5,0,25878
38.75,38.5,0,26079
38.75,38.5,0,26280
38.79,38.5,0,26481
38.79,38.5,0,26682
38.79,38.5,0,26883
38.79,38.5,0,27084
38.79,38.5,0,27285
38.79,38.5,0,27486
38.82,38.5,0,27687
38.82,38.5,0,27888
38.82,38.5,0,28089
38.82,38.5,0,28290
38.85,38.5,0,28491
38.89,38.5,0,28692
38.85,38.5,0,28893
38.89,38.5,0,29094
38.85,38.5,0,29295
38.89,38.5,0,29496
38.89,38.5,0,29697
38.85,38.5,0,29898
38.89,38.5,0,30099
38.89,38.5,0,30300
38.85,38.5,0,30501
38.92,38.5,0,30702
38.89,38.5,0,30903
38.92,38.5,0,31104
38.89,38.5,0,31305
38.89,38.5,0,31506
38.92,38.5,0,31707
38.89,38.5,0,31908
38.89,38.5,0,32109
38.92,38.5,0,32310
38.92,38.5,0,32511
38.92,38.5,0,32712
38.89,38.5,0,32913
38.92,38.5,0,33114
38.89,38.5,0,33315
38.92,38.5,0,33516
38.89,38.5,0,33717
38.92,38.5,0,33918
38.96,38.5,0,34119
38.92,38.5,0,34320
38.92,38.5,0,34521
38.92,38.5,0,34722
38.92,38.5,0,34923
38.92,38.5,0,35124
38.92,38.5,0,35325
38.92,38.5,0,35526
38.89,38.5,0,35727
38.92,38.5,0,35928
38.92,38.5,0,36129
38.92,38.5,0,36330
38.92,38.5,0,36531
38.92,38.5,0,36732
38.92,38.5,0,36933
38.92,38.5,0,37134
38.89,38.5,0,37335
38.92,38.5,0,37536
38.89,38.5,0,37737
38.92,38.5,0,37938
38.89,38.5,0,38139
38.92,38.5,0,38340
38.92,38.5,0,38541
38.92,38.5,0,38742
38.92,38.5,0,38943
38.89,38.5,0,39144
38.92,38.5,0,39345
38.92,38.5,0,39546
38.89,38.5,0,39747
38.89,38.5,0,39948
38.92,38.5,0,40149
38.92,38.5,0,40350
38.89,38.5,0,40551
38.89,38.5,0,40752
38.89,38.5,0,40953
38.89,38.5,0,41154
38.89,38.5,0,41355
38.89,38.5,0,41556
38.89,38.5,0,41757
38.92,38.5,0,41958
38.85,38.5,0,42159
38.89,38.5,0,42360
38.89,38.5,0,42561
38.89,38.5,0,42762
38.85,38.5,0,42963
38.89,38.5,0,43164
38.85,38.5,0,43365
38.85,38.5,0,43566
38.85,38.5,0,43767
38.85,38.5,0,43968
38.89,38.5,0,44169
38.85,38.5,0,44370
38.89,38.5,0,44571
38.85,38.5,0,44772
