Temp,Setpoint,,Time
27.97,38.5,255,19848
27.97,38.5,255,20049
28,38.5,255,20250
28,38.5,255,20451
27.97,38.5,255,20652
27.97,38.5,255,20853
27.97,38.5,255,21054
27.97,38.5,255,21255
27.97,38.5,255,21456
28,38.5,255,21657
28,38.5,255,21858
28,38.5,255,22059
27.97,38.5,255,22260
28.04,38.5,255,22461
27.97,38.5,255,22662
28,38.5,255,22863
28,38.5,255,23064
28,38.5,255,23265
28,38.5,255,23466
28,38.5,255,23667
28.04,38.5,255,23868
28,38.5,255,24069
28,38.5,255,24270
28,38.5,255,24471
28.04,38.5,255,24672
28,38.5,255,24873
28.04,38.5,255,25074
28,38.5,255,25275
28,38.5,255,25476
28,38.5,255,25677
28.04,38.5,255,25878
28,38.5,255,26079
28.04,38.5,255,26280
28.04,38.5,255,26481
28.04,38.5,255,26682
28.04,38.5,255,26883
28.04,38.5,255,27084
28.04,38.5,255,27285
28,38.5,255,27486
28,38.5,255,27687
28.04,38.5,255,27888
28.04,38.5,255,28089
28.04,38.5,255,28290
28.04,38.5,255,28491
28.04,38.5,255,28692
28.07,38.5,255,28893
28.04,38.5,255,29094
28.07,38.5,255,29295
28.07,38.5,255,29496
28.04,38.5,255,29697
28.07,38.5,255,29898
28.07,38.5,255,30099
28.04,38.5,255,30300
28.07,38.5,255,30501
28.07,38.5,255,30702
28.07,38.5,255,30903
28.04,38.5,255,31104
28.07,38.5,255,31305
28.07,38.5,255,31506
28.07,38.5,255,31707
28.07,38.5,255,31908
28.07,38.5,255,32109
28.07,38.5,255,32310
28.07,38.5,255,32511
28.07,38.5,255,32712
28.07,38.5,255,32913
28.07,38.5,255,33114
28.1,38.5,255,33315
28.07,38.5,255,33516
28.07,38.5,255,33717
28.1,38.5,255,33918
28.1,38.5,255,34119
28.07,38.5,255,34320
28.07,38.5,255,34521
28.1,38.5,255,34722
28.1,38.5,255,34923
28.1,38.5,255,35124
28.07,38.5,255,35325
28.1,38.5,255,35526
